addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
서울특별시 종로구 평창30길 28,(평창동),1,0,A02,A0206,A02060500,129854,14,20071106103314,4887.900388396214,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,Type3,126.9751811398,37.6122099878,6,20240828180420,23,,가나아트센터
전북특별자치도 익산시 가람1길 76 가람문학관,,37,,A02,A0206,A02060200,2994669,14,20240118174300,170421.57832123246,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image3_1.jpg,Type3,127.0844949735,36.0353602265,6,20240118174312,9,,가람문학관
서울특별시 종로구 인사동10길 11,,1,0,A02,A0206,A02060500,129898,14,20071106103446,735.029956505232,,,,126.9856034879,37.5742756967,6,20241118183449,23,,가람화랑
경기도 과천시 새빛로 24,(문원동),31,0,A02,A0206,A02060500,2714751,14,20210428192402,16112.417826074712,,,,126.9992259352,37.4240072795,6,20240919162443,3,,가원미술관
경기도 가평군 청평면 북한강로 1549,,31,0,A02,A0206,A02060500,130611,14,20050628090000,36807.034973725786,,,,127.3794096039,37.6604061569,6,20240611170832,1,,가일미술관
경상북도 안동시 노동길 16,,35,,A02,A0206,A02060900,2997700,14,20230814162140,175893.33515531657,,,,128.5220131517,36.5739941223,6,20240805134942,11,,가일서가
울산광역시 남구 대공원로 84,(옥동),7,0,A02,A0203,A02030400,130523,14,20041008090000,305339.3480517865,http://tong.visitkorea.or.kr/cms/resource/93/3341793_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3341793_image3_1.jpg,Type3,129.2905556337,35.5319960593,6,20240805000001,2,,가족문화센터
인천광역시 연수구 청량로102번길 40-9,,2,0,A02,A0206,A02060100,130105,14,20060724090000,33284.21719601489,,,,126.6576044255,37.4182241030,6,20240617162754,8,032-833-4747,가천박물관
서울특별시 종로구 창경궁로 296-12,(혜화동),1,0,A02,A0206,A02060900,130233,14,20071106104803,2801.089708694704,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,Type3,127.0043347827,37.5859580079,6,20240912185351,23,,가톨릭대학교 성신교정도서관
경기도 가평군 가평읍 문화로 131,,31,0,A02,A0206,A02060600,130220,14,20060608090000,54774.71983133978,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,Type3,127.5085264086,37.8242478130,6,20240823153354,1,,가평문화예술회관
