addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
충청남도 공주시 감영길 3,(반죽동),34,,A04,A0401,A04010600,2750144,38,20210928012320,124450.2003279475,,,,127.1216721795,36.4529297875,6,20231206145555,1,,가가상점
충청남도 공주시 당간지주길 10,(반죽동),34,,A02,A0206,A02061000,2750143,38,20210928012011,124547.8631784392,,,,127.1219610659,36.4520687798,6,20240814103133,1,,가가책방
충청북도 청주시 흥덕구 가경동,1438,33,,A04,A0401,A04010200,1433504,38,20111111014944,111808.49109044207,,,,127.4341171334,36.6286485111,6,20241023200025,10,,가경 터미널시장
"부산광역시 부산진구 가야대로 779,1층(부전동)",,6,,A04,A0401,A04011000,2930927,38,20221030154457,325001.2312000208,http://tong.visitkorea.or.kr/cms/resource/49/2885349_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2885349_image3_1.jpg,Type3,129.0568335973,35.1579947826,6,20240323140944,7,,가까운약국 서면
서울특별시 강남구 도산대로 113(신사동),,1,,A04,A0401,A04011000,2899721,38,20221101124622,6689.320408235996,http://tong.visitkorea.or.kr/cms/resource/58/2887858_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2887858_image3_1.jpg,Type3,127.0208657845,37.5170635319,6,20240324152120,1,,가나안약국
서울특별시 중구 남대문로 81,,1,,A04,A0401,A04011000,2928947,38,20221030221119,410.2954775240184,http://tong.visitkorea.or.kr/cms/resource/11/2889211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2889211_image3_1.jpg,Type3,126.9817485525,37.5647822864,6,20240323134830,24,,가네시 롯데본점
서울특별시 금천구 디지털로 185 (가산동),,1,,A04,A0401,A04011000,3306525,38,20240202160415,13064.734965193065,http://tong.visitkorea.or.kr/cms/resource/47/3314547_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/3314547_image3_1.jpg,Type3,126.8872262708,37.4782600918,6,20240621225338,8,,가넷옴므
서울특별시 송파구 충민로 66,,1,,A04,A0401,A04010600,732484,38,20090511234754,16153.525534489714,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image3_1.jpg,Type3,127.1229354097,37.4770061292,6,20230719151847,18,,가든파이브라이프(Garden5life)
서울특별시 송파구 양재대로 932,(가락동),1,,A04,A0401,A04010200,132215,38,20031117090000,14029.725979433631,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image3_1.jpg,Type3,127.1109831778,37.4960925880,6,20240523141919,18,02-3435-1000,가락농수산물종합도매시장
서울특별시 송파구 양재대로 932,(가락동),1,,A04,A0401,A04010600,2757647,38,20211015194549,14028.298531894428,,,,127.1110192841,37.4961564700,6,20230201155312,18,,가락몰
